Player,WalterFootball_Rank,PFN_Rank,Mean_Rank,n_sources
Jordyn Tyson,1,1,1.0,2
Denzel Boston,2,,2.0,1
Antonio Williams,3,2,2.5,2
Nic Anderson,4,,4.0,1
Germie Bernard,5,,5.0,1
Carnell Tate,6,,6.0,1
Aaron Anderson,7,,7.0,1
Deion Burks,8,,8.0,1
Eric Singleton,9,,9.0,1
Elijah Sarratt,10,,10.0,1
Tre Wilson III,11,,11.0,1
Isaiah Horton,12,,12.0,1
Squirrel White,13,,13.0,1
Malachi Fields,14,,14.0,1
Omar Cooper Jr.,15,,15.0,1
Chris Brazzell II,16,,16.0,1
Nyck Harbor,17,,17.0,1
Ja'Kobi Lane,18,,18.0,1
Bryce Lance,19,,19.0,1
Noah Thomas,20,,20.0,1
Chris Bell,21,,21.0,1
Jayden Gibson,22,,22.0,1
Jaden Greathouse,23,,23.0,1
Caleb Douglas,24,,24.0,1
Jayce Brown,25,,25.0,1
